VIDEO, Rate, Utility, d0, QP,,,,,,
lam,117.616,3.238694,0.5,35,,lam,117.616,3.25107,0,35
,334.0816,4.383832,0.407833,27,,lam,334.0816,4.32098,0,27
,550.5472,4.738205,0.385368,24,,lam,550.5472,4.658896,0,25
,767.0128,4.860824,0.308812,23,,lam,767.0128,4.830194,0,24
,983.4784,4.929206,0.344999,23,,lam,983.4784,4.898526,0,23
,1199.944,4.968972,0.403432,22,,lam,1199.944,4.949073,0,23
,1416.4096,4.992679,0.46845,22,,lam,1416.4096,4.981835,0,22
,1632.8752,5,0.489387,22,,lam,1632.8752,4.995875,0,22
,1849.3408,5,0.267982,22,,lam,1849.3408,5,0,22
,2065.8064,5,0.030332,22,,lam,2065.8064,5,0,22
,2282.272,5,0.16634,22,,lam,2282.272,5,0,22
,2498.7376,5,0.174208,22,,lam,2498.7376,5,0,22
,2715.2032,5,0.000873,22,,lam,2715.2032,5,0,22
,2931.6688,5,0,22,,lam,2931.6688,5,0,22
,3148.1344,5,0.190361,22,,lam,3148.1344,5,0,22
,3364.6,5,0.049442,22,,lam,3364.6,5,0,22
,3581.0656,5,0,22,,lam,3581.0656,5,0,22
,3797.5312,5,0,22,,lam,3797.5312,5,0,22
,4013.9968,5,0.060598,22,,lam,4013.9968,5,0,22
,4230.4624,5,0,22,,lam,4230.4624,5,0,22
,,,,,,,,,,
sony,494.510222,1.994677,0.5,44,,sony,494.510222,2.007054,0,44
,1136.302111,3.255867,0.068752,35,,sony,1136.302111,3.209884,0,35
,1778.094,3.69633,0.387266,32,,sony,1778.094,3.608643,0,32
,2419.885889,4.038427,0.446638,29,,sony,2419.885889,3.958727,0,30
,3061.677778,4.146042,0.409163,28,,sony,3061.677778,4.094455,0,29
,3703.469667,4.321002,0.490389,27,,sony,3703.469667,4.229247,0,28
,4345.261556,4.501617,0.453165,26,,sony,4345.261556,4.397737,0,27
,4987.053444,4.632499,0.154958,25,,sony,4987.053444,4.580267,0,25
,5628.845333,4.737479,0.454178,24,,sony,5628.845333,4.69821,0,25
,6270.637222,4.771773,0.429412,24,,sony,6270.637222,4.737524,0,24
,6912.429111,4.804906,0.452856,24,,sony,6912.429111,4.765606,0,24
,7554.221,4.858823,0.429525,23,,sony,7554.221,4.816153,0,24
,8196.012889,4.888108,0.265145,23,,sony,8196.012889,4.849851,0,23
,8837.804778,4.900872,0.203411,23,,sony,8837.804778,4.869508,0,23
,9479.596667,4.944501,0.370362,23,,sony,9479.596667,4.903206,0,23
,10121.388556,4.967428,0.351426,22,,sony,10121.388556,4.934096,0,23
,10763.180444,5,0.344885,22,,sony,10763.180444,4.962177,0,23
,11404.972333,5,0.151533,22,,sony,11404.972333,4.998684,0,22
,12046.764222,5,0.261494,22,,sony,12046.764222,5,0,22
,12688.556111,5,0.045946,22,,sony,12688.556111,5,0,22
,,,,,,,,,,
star,67.6256,0,0,22,,,,,,
,166.77432,3.96643,0.482341,30,,,,,,
,265.92304,4.356933,0.320776,27,,,,,,
,365.07176,4.619,0.437549,25,,,,,,
,464.22048,4.750931,0.400961,24,,,,,,
,563.3692,4.824467,0.456885,24,,,,,,
,662.51792,4.879184,0.400406,23,,,,,,
,761.66664,4.931834,0.200483,23,,,,,,
,860.81536,4.964276,0.365517,23,,,,,,
,959.96408,4.989758,0.35698,22,,,,,,
,1059.1128,5,0.362684,22,,,,,,
,1158.26152,5,0.188521,22,,,,,,
,1257.41024,5,0.015953,22,,,,,,
,1356.55896,5,0.016986,22,,,,,,
,1455.70768,5,0.075554,22,,,,,,
,1554.8564,5,0.064463,22,,,,,,
,1654.00512,5,0,22,,,,,,
,1753.15384,5,0.082423,22,,,,,,
,1852.30256,5,0,22,,,,,,
,1951.45128,5,0,22,,,,,,
,,,,,,,,,,
terminate,639.952941,0,0,22,,,,,,
,1439.776894,3.559144,0.14302,33,,,,,,
,2239.600847,4.004188,0.35304,29,,,,,,
,3039.4248,4.320706,0.38614,27,,,,,,
,3839.248753,4.540983,0.451027,26,,,,,,
,4639.072706,4.689552,0.231851,25,,,,,,
,5438.896659,4.776627,0.461085,24,,,,,,
,6238.720612,4.863923,0.335171,23,,,,,,
,7038.544565,4.914476,0.450713,23,,,,,,
,7838.368518,4.957206,0.425498,23,,,,,,
,8638.192471,4.998843,0.445641,22,,,,,,
,9438.016424,5,0.446167,22,,,,,,
,10237.840376,5,0.19412,22,,,,,,
,11037.664329,5,0.135708,22,,,,,,
,11837.488282,5,0,22,,,,,,
,12637.312235,5,0.064651,22,,,,,,
,13437.136188,5,0,22,,,,,,
,14236.960141,5,0,22,,,,,,
,15036.784094,5,0,22,,,,,,
,15836.608047,5,0,22,,,,,,
,,,,,,,,,,
tokyo,82.071385,2.72948,0.5,39,,,,,,
,280.916215,3.882161,0.328663,30,,,,,,
,479.761046,4.273927,0.346697,28,,,,,,
,678.605877,4.562521,0.411833,25,,,,,,
,877.450708,4.682619,0.400159,25,,,,,,
,1076.295538,4.780729,0.407407,24,,,,,,
,1275.140369,4.875728,0.42724,23,,,,,,
,1473.9852,4.935709,0.385493,23,,,,,,
,1672.830031,4.965199,0.327691,23,,,,,,
,1871.674862,4.98186,0.451219,22,,,,,,
,2070.519692,4.990724,0.20376,22,,,,,,
,2269.364523,4.997872,0.486094,22,,,,,,
,2468.209354,5,0.308715,22,,,,,,
,2667.054185,5,0.275714,22,,,,,,
,2865.899015,5,0.030796,22,,,,,,
,3064.743846,5,0.168173,22,,,,,,
,3263.588677,5,0.03607,22,,,,,,
,3462.433508,5,0.044292,22,,,,,,
,3661.278338,5,0.068387,22,,,,,,
,3860.123169,5,0,22,,,,,,
,,,,,,,,,,
lam,117.616,1.453638,0.5,48,,,,,,
,334.0816,2.280516,0.446708,42,,,,,,
,550.5472,2.291614,0,42,,,,,,
,767.0128,2.842014,0,38,,,,,,
,983.4784,2.842014,0,38,,,,,,
,1199.944,3.39003,0.093551,34,,,,,,
,1416.4096,3.392414,0,34,,,,,,
,1632.8752,3.392414,0,34,,,,,,
,1849.3408,3.392414,0,34,,,,,,
,2065.8064,4.208205,0.393339,28,,,,,,
,2282.272,4.213797,0.16634,28,,,,,,
,2498.7376,4.218014,0,28,,,,,,
