VIDEO, Rate, Utility, d0, QP
lam,117.616000, 3.238694, 0.500000, 35.000000
,334.081600, 4.383832, 0.407833, 27.000000
,550.547200, 4.738205, 0.385368, 24.000000
,767.012800, 4.860824, 0.308812, 23.000000
,983.478400, 4.929206, 0.344999, 23.000000
,1199.944000, 4.968972, 0.403432, 22.000000
,1416.409600, 4.992679, 0.468450, 22.000000
,1632.875200, 5.000000, 0.489387, 22.000000
,1849.340800, 5.000000, 0.267982, 22.000000
,2065.806400, 5.000000, 0.030332, 22.000000
,2282.272000, 5.000000, 0.166340, 22.000000
,2498.737600, 5.000000, 0.174208, 22.000000
,2715.203200, 5.000000, 0.000873, 22.000000
,2931.668800, 5.000000, 0.000000, 22.000000
,3148.134400, 5.000000, 0.190361, 22.000000
,3364.600000, 5.000000, 0.049442, 22.000000
,3581.065600, 5.000000, 0.000000, 22.000000
,3797.531200, 5.000000, 0.000000, 22.000000
,4013.996800, 5.000000, 0.060598, 22.000000
,4230.462400, 5.000000, 0.000000, 22.000000

sony,494.510222, 1.994677, 0.500000, 44.000000
,1136.302111, 3.255867, 0.068752, 35.000000
,1778.094000, 3.696330, 0.387266, 32.000000
,2419.885889, 4.038427, 0.446638, 29.000000
,3061.677778, 4.146042, 0.409163, 28.000000
,3703.469667, 4.321002, 0.490389, 27.000000
,4345.261556, 4.501617, 0.453165, 26.000000
,4987.053444, 4.632499, 0.154958, 25.000000
,5628.845333, 4.737479, 0.454178, 24.000000
,6270.637222, 4.771773, 0.429412, 24.000000
,6912.429111, 4.804906, 0.452856, 24.000000
,7554.221000, 4.858823, 0.429525, 23.000000
,8196.012889, 4.888108, 0.265145, 23.000000
,8837.804778, 4.900872, 0.203411, 23.000000
,9479.596667, 4.944501, 0.370362, 23.000000
,10121.388556, 4.967428, 0.351426, 22.000000
,10763.180444, 5.000000, 0.344885, 22.000000
,11404.972333, 5.000000, 0.151533, 22.000000
,12046.764222, 5.000000, 0.261494, 22.000000
,12688.556111, 5.000000, 0.045946, 22.000000

star,67.625600, 0.000000, 0.000000, 22.000000
,166.774320, 3.966430, 0.482341, 30.000000
,265.923040, 4.356933, 0.320776, 27.000000
,365.071760, 4.619000, 0.437549, 25.000000
,464.220480, 4.750931, 0.400961, 24.000000
,563.369200, 4.824467, 0.456885, 24.000000
,662.517920, 4.879184, 0.400406, 23.000000
,761.666640, 4.931834, 0.200483, 23.000000
,860.815360, 4.964276, 0.365517, 23.000000
,959.964080, 4.989758, 0.356980, 22.000000
,1059.112800, 5.000000, 0.362684, 22.000000
,1158.261520, 5.000000, 0.188521, 22.000000
,1257.410240, 5.000000, 0.015953, 22.000000
,1356.558960, 5.000000, 0.016986, 22.000000
,1455.707680, 5.000000, 0.075554, 22.000000
,1554.856400, 5.000000, 0.064463, 22.000000
,1654.005120, 5.000000, 0.000000, 22.000000
,1753.153840, 5.000000, 0.082423, 22.000000
,1852.302560, 5.000000, 0.000000, 22.000000
,1951.451280, 5.000000, 0.000000, 22.000000

terminate,639.952941, 0.000000, 0.000000, 22.000000
,1439.776894, 3.559144, 0.143020, 33.000000
,2239.600847, 4.004188, 0.353040, 29.000000
,3039.424800, 4.320706, 0.386140, 27.000000
,3839.248753, 4.540983, 0.451027, 26.000000
,4639.072706, 4.689552, 0.231851, 25.000000
,5438.896659, 4.776627, 0.461085, 24.000000
,6238.720612, 4.863923, 0.335171, 23.000000
,7038.544565, 4.914476, 0.450713, 23.000000
,7838.368518, 4.957206, 0.425498, 23.000000
,8638.192471, 4.998843, 0.445641, 22.000000
,9438.016424, 5.000000, 0.446167, 22.000000
,10237.840376, 5.000000, 0.194120, 22.000000
,11037.664329, 5.000000, 0.135708, 22.000000
,11837.488282, 5.000000, 0.000000, 22.000000
,12637.312235, 5.000000, 0.064651, 22.000000
,13437.136188, 5.000000, 0.000000, 22.000000
,14236.960141, 5.000000, 0.000000, 22.000000
,15036.784094, 5.000000, 0.000000, 22.000000
,15836.608047, 5.000000, 0.000000, 22.000000

tokyo,82.071385, 2.729480, 0.500000, 39.000000
,280.916215, 3.882161, 0.328663, 30.000000
,479.761046, 4.273927, 0.346697, 28.000000
,678.605877, 4.562521, 0.411833, 25.000000
,877.450708, 4.682619, 0.400159, 25.000000
,1076.295538, 4.780729, 0.407407, 24.000000
,1275.140369, 4.875728, 0.427240, 23.000000
,1473.985200, 4.935709, 0.385493, 23.000000
,1672.830031, 4.965199, 0.327691, 23.000000
,1871.674862, 4.981860, 0.451219, 22.000000
,2070.519692, 4.990724, 0.203760, 22.000000
,2269.364523, 4.997872, 0.486094, 22.000000
,2468.209354, 5.000000, 0.308715, 22.000000
,2667.054185, 5.000000, 0.275714, 22.000000
,2865.899015, 5.000000, 0.030796, 22.000000
,3064.743846, 5.000000, 0.168173, 22.000000
,3263.588677, 5.000000, 0.036070, 22.000000
,3462.433508, 5.000000, 0.044292, 22.000000
,3661.278338, 5.000000, 0.068387, 22.000000
,3860.123169, 5.000000, 0.000000, 22.000000

lam,117.616000, 1.453638, 0.500000, 48.000000
,334.081600, 2.280516, 0.446708, 42.000000
,550.547200, 2.291614, 0.000000, 42.000000
,767.012800, 2.842014, 0.000000, 38.000000
,983.478400, 2.842014, 0.000000, 38.000000
,1199.944000, 3.390030, 0.093551, 34.000000
,1416.409600, 3.392414, 0.000000, 34.000000
,1632.875200, 3.392414, 0.000000, 34.000000
,1849.340800, 3.392414, 0.000000, 34.000000
,2065.806400, 4.208205, 0.393339, 28.000000
,2282.272000, 4.213797, 0.166340, 28.000000
,2498.737600, 4.218014, 0.000000, 28.000000
,2715.203200, 4.218014, 0.000000, 28.000000
,2931.668800, 4.218014, 0.000000, 28.000000
,3148.134400, 4.218014, 0.000000, 28.000000
,3364.600000, 4.218014, 0.000000, 28.000000
,3581.065600, 4.218014, 0.000000, 28.000000
,3797.531200, 5.035053, 0.342010, 22.000000
,4013.996800, 5.038165, 0.215711, 22.000000
,4230.462400, 5.041008, 0.102337, 22.000000

sony,494.510222, 1.453638, 0.500000, 48.000000
,1136.302111, 1.466014, 0.000000, 48.000000
,1778.094000, 2.842014, 0.000000, 38.000000
,2419.885889, 3.385113, 0.290607, 34.000000
,3061.677778, 3.392414, 0.000000, 34.000000
,3703.469667, 3.392414, 0.000000, 34.000000
,4345.261556, 3.392414, 0.000000, 34.000000
,4987.053444, 4.205800, 0.493231, 28.000000
,5628.845333, 4.216145, 0.073217, 28.000000
,6270.637222, 4.218014, 0.000000, 28.000000
,6912.429111, 4.218014, 0.000000, 28.000000
,7554.221000, 4.218014, 0.000000, 28.000000
,8196.012889, 4.218014, 0.000000, 28.000000
,8837.804778, 4.218014, 0.000000, 28.000000
,9479.596667, 4.218014, 0.000000, 28.000000
,10121.388556, 4.218014, 0.000000, 28.000000
,10763.180444, 4.218014, 0.000000, 28.000000
,11404.972333, 4.218014, 0.000000, 28.000000
,12046.764222, 5.037031, 0.261494, 22.000000
,12688.556111, 5.041037, 0.101161, 22.000000

star,67.625600, 0.000000, 0.000000, 0.000000
,166.774320, 1.466014, 0.000000, 48.000000
,265.923040, 2.291614, 0.000000, 42.000000
,365.071760, 2.842014, 0.000000, 38.000000
,464.220480, 2.842014, 0.000000, 38.000000
,563.369200, 3.390520, 0.074235, 34.000000
,662.517920, 3.392414, 0.000000, 34.000000
,761.666640, 3.392414, 0.000000, 34.000000
,860.815360, 3.392414, 0.000000, 34.000000
,959.964080, 4.209897, 0.323854, 28.000000
,1059.112800, 4.215307, 0.106306, 28.000000
,1158.261520, 4.218014, 0.000000, 28.000000
,1257.410240, 4.218014, 0.000000, 28.000000
,1356.558960, 4.218014, 0.000000, 28.000000
,1455.707680, 4.218014, 0.000000, 28.000000
,1554.856400, 4.218014, 0.000000, 28.000000
,1654.005120, 5.031727, 0.479557, 22.000000
,1753.153840, 5.035119, 0.339327, 22.000000
,1852.302560, 5.038205, 0.214109, 22.000000
,1951.451280, 5.041026, 0.101615, 22.000000

terminate,639.952941, 0.000000, 0.000000, 0.000000
,1439.776894, 2.291614, 0.000000, 42.000000
,2239.600847, 2.842014, 0.000000, 38.000000
,3039.424800, 3.386584, 0.231077, 34.000000
,3839.248753, 3.392414, 0.000000, 34.000000
,4639.072706, 3.392414, 0.000000, 34.000000
,5438.896659, 3.392414, 0.000000, 34.000000
,6238.720612, 3.392414, 0.000000, 34.000000
,7038.544565, 4.213237, 0.188748, 28.000000
,7838.368518, 4.218014, 0.000000, 28.000000
,8638.192471, 4.218014, 0.000000, 28.000000
,9438.016424, 4.218014, 0.000000, 28.000000
,10237.840376, 4.218014, 0.000000, 28.000000
,11037.664329, 4.218014, 0.000000, 28.000000
,11837.488282, 4.218014, 0.000000, 28.000000
,12637.312235, 4.218014, 0.000000, 28.000000
,13437.136188, 5.031808, 0.476187, 22.000000
,14236.960141, 5.035174, 0.337076, 22.000000
,15036.784094, 5.038239, 0.212765, 22.000000
,15836.608047, 5.041041, 0.101010, 22.000000

tokyo,82.071385, 1.453638, 0.500000, 48.000000
,280.916215, 2.291614, 0.000000, 42.000000
,479.761046, 2.840616, 0.054706, 38.000000
,678.605877, 2.842014, 0.000000, 38.000000
,877.450708, 3.389269, 0.123698, 34.000000
,1076.295538, 3.392414, 0.000000, 34.000000
,1275.140369, 3.392414, 0.000000, 34.000000
,1473.985200, 3.392414, 0.000000, 34.000000
,1672.830031, 4.207593, 0.418613, 28.000000
,1871.674862, 4.213915, 0.161662, 28.000000
,2070.519692, 4.218014, 0.000000, 28.000000
,2269.364523, 4.218014, 0.000000, 28.000000
,2468.209354, 4.218014, 0.000000, 28.000000
,2667.054185, 4.218014, 0.000000, 28.000000
,2865.899015, 4.218014, 0.000000, 28.000000
,3064.743846, 4.218014, 0.000000, 28.000000
,3263.588677, 4.218014, 0.000000, 28.000000
,3462.433508, 5.034948, 0.346323, 22.000000
,3661.278338, 5.038127, 0.217241, 22.000000
,3860.123169, 5.040990, 0.103025, 22.000000

