BandWidth, Algorithm, Video name, Rate, Utility,,,,,
3000, Fast heap,lam,334.0816,4.441102,, Full search,lam,334.0816,4.441102
,,sony,1136.302111,3.209884,,,sony,1136.302111,3.209884
,,star,365.07176,4.649766,,,star,365.07176,4.649766
,,terminate,639.952941,2.52074,,,terminate,639.952941,2.52074
,,tokyo,479.761046,4.255878,,,tokyo,479.761046,4.255878
,,U_avg,3.815474,,,,U_avg,3.815474,
,,SUM_BW,2955.169458,,,,SUM_BW,2955.169458,
,,TIME,0.000005,,,,TIME,0.025628,
,,,,,,,,,
, Full search,lam,334.0816,4.441102,,,,,
,,sony,1136.302111,3.209884,,,,,
,,star,365.07176,4.649766,,,,,
,,terminate,639.952941,2.52074,,,,,
,,tokyo,479.761046,4.255878,,,,,
,,U_avg,3.815474,,,,,,
,,SUM_BW,2955.169458,,,,,,
,,TIME,0.025628,,,,,,
,,,,,,,,,
4000, Fast heap,lam,550.5472,4.738205,,,,,
,,sony,1136.302111,3.209884,,,,,
,,star,464.22048,4.743824,,,,,
,,terminate,639.952941,2.52074,,,,,
,,tokyo,678.605877,4.561493,,,,,
,,U_avg,3.954829,,,,,,
,,SUM_BW,3469.628609,,,,,,
,,TIME,0.000013,,,,,,
,,,,,,,,,
, Full search,lam,334.0816,4.441102,,,,,
,,sony,1136.302111,3.209884,,,,,
,,star,365.07176,4.649766,,,,,
,,terminate,1439.776894,3.655024,,,,,
,,tokyo,678.605877,4.561493,,,,,
,,U_avg,4.103454,,,,,,
,,SUM_BW,3953.838242,,,,,,
,,TIME,0.025017,,,,,,
,,,,,,,,,
5000, Fast heap,lam,550.5472,4.738205,,,,,
,,sony,1136.302111,3.209884,,,,,
,,star,563.3692,4.846095,,,,,
,,terminate,1439.776894,3.655024,,,,,
,,tokyo,678.605877,4.561493,,,,,
,,U_avg,4.20214,,,,,,
,,SUM_BW,4368.601282,,,,,,
,,TIME,0.000006,,,,,,
,,,,,,,,,
, Full search,lam,550.5472,4.738205,,,,,
,,sony,1778.094,3.797105,,,,,
,,star,464.22048,4.743824,,,,,
,,terminate,1439.776894,3.655024,,,,,
,,tokyo,678.605877,4.561493,,,,,
,,U_avg,4.29913,,,,,,
,,SUM_BW,4911.244451,,,,,,
,,TIME,0.024987,,,,,,
,,,,,,,,,
6000, Fast heap,lam,767.0128,4.874718,,,,,
,,sony,1778.094,3.797105,,,,,
,,star,662.51792,4.896787,,,,,
,,terminate,1439.776894,3.655024,,,,,
,,tokyo,1076.295538,4.795109,,,,,
,,U_avg,4.403748,,,,,,
,,SUM_BW,5723.697153,,,,,,
,,TIME,0.000008,,,,,,
,,,,,,,,,
, Full search,lam,767.0128,4.874718,,,,,
,,sony,1778.094,3.797105,,,,,
,,star,662.51792,4.896787,,,,,
,,terminate,1439.776894,3.655024,,,,,
,,tokyo,1275.140369,4.891342,,,,,
,,U_avg,4.422995,,,,,,
,,SUM_BW,5922.541983,,,,,,
